inscricao,contribuinte,end,categoria,lat_gMaps,lng_gMaps,bairro_gMaps,bairro_name,bairro_GID
473776-8,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  ALBERTO FERREIRA 689  JARDIM IRACEMA FORTALEZA - CE CEP:60341140,Evangélicas,-37.233.375,-38.583.108,Jardim Iracema,Jardim Iracema,21
242015-5,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R COM GARCIA 730  A VILA PERY FORTALEZA - CE CEP:60730155,Evangélicas,-3.791.128,-38.581.273,Vila Peri,Vila Peri,108
66675-0,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  LIBERATO BARROSO 1001  102 CENTRO FORTALEZA - CE CEP:60030161,Evangélicas,-3.726.087,-385.361.192,Centro,Centro,10
252330-2,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  ANTONIO TEIXEIRA LEITE (ITAPERI) 832  SERRINHA FORTALEZA - CE CEP:60742820,Evangélicas,-37.882.178,-385.386.232,Serrinha,Serrinha,107
66671-8,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  LIBERATO BARROSO 997  CENTRO FORTALEZA - CE CEP:60030161,Evangélicas,-37.260.957,-385.360.918,Centro,Centro,10
116966-1,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  ROSINHA SAMPAIO 2183  VILA VELHA FORTALEZA - CE CEP:60345662,Evangélicas,-372.422,-385.979.377,Jardim Guanabara,Vila Velha,39
157992-4,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  CARLOS ARAUJO 230  QUINTINO CUNHA FORTALEZA - CE CEP:60351010,Evangélicas,-37.291.203,-3.858.989.400.000.000,Quintino Cunha,Olavo Oliveira,119
91703-6,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  COELHO DA FONSECA 467  ÁLVARO WEYNE FORTALEZA - CE CEP:60335050,Evangélicas,-37.119.097,-385.615.667,Cristo Redentor,Álvaro Weyne,3
119049-0,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,AV  WASHINGTON LUIZ 623  VILA VELHA FORTALEZA - CE CEP:60347110,Evangélicas,-37.163.696,-385.943.629,Jardim Guanabara,Vila Velha,39
66691-2,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  LIBERATO BARROSO 977  CENTRO FORTALEZA - CE CEP:60030161,Evangélicas,-37.261.392,-385.359.549,Centro,Centro,10
107816-0,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  FRANCISCO CALACA 1523  ÁLVARO WEYNE FORTALEZA - CE CEP:60336045,Evangélicas,-37.150.885,-385.731.226,Cristo Redentor,Álvaro Weyne,3
191567-3,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  LUCIANO QUEIROS 141  HENRIQUE JORGE FORTALEZA - CE CEP:60510176,Evangélicas,-37.592.292,-385.790.341,Henrique Jorge,Henrique Jorge,45
262385-4,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R DR FRANCISCO GADELHA (SDO) 564  ENGENHEIRO LUCIANO CAVALCANTE FORTALEZA - CE CEP:60811120,Evangélicas,-37.759.426,-384.874.842,Luciano Cavalcante,Engenheiro Luciano Cavalcante,58
66703-0,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  LIBERATO BARROSO 971  22 CENTRO FORTALEZA - CE CEP:60030161,Evangélicas,-37.261.523,-385.359.138,Centro,Centro,10
116965-3,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  ROSINHA SAMPAIO 2193  VILA VELHA FORTALEZA - CE CEP:60345662,Evangélicas,-3.724.131,-385.979.311,Jardim Guanabara,Vila Velha,39
258718-1,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R TEN BOTELHO 20  MONDUBIM FORTALEZA - CE CEP:60761530,Evangélicas,-38.148.386,-385.580.328,Mondubim,Mondubim,83
257361-0,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  FRANCISCO GLICERIO 395  JARDIM CEARENSE FORTALEZA - CE CEP:60711055,Evangélicas,-37.975.882,-38.565.207,Maraponga,Jardim Cearense,80
278460-2,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  TIBURCIO PEREIRA 614  CAJAZEIRAS FORTALEZA - CE CEP:60864260,Evangélicas,-37.991.802,-385.090.911,Cajazeiras,Cajazeiras,52
382456-0,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  7 (CONJ. MIRASSOL)   PARQUE DOIS IRMÃOS FORTALEZA - CE CEP:60743270,Evangélicas,-37.948.055,-385.419.446,Não identificado,Itaperi,100
66681-5,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  LIBERATO BARROSO 1001  202 CENTRO FORTALEZA - CE CEP:60030161,Evangélicas,-3.726.087,-385.361.192,Centro,Centro,10
66708-0,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  LIBERATO BARROSO 971  27 CENTRO FORTALEZA - CE CEP:60030161,Evangélicas,-37.261.523,-385.359.138,Centro,Centro,10
199163-9,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  PARANA 715  DEMÓCRITO ROCHA FORTALEZA - CE CEP:60440104,Evangélicas,-37.584.416,-385.688.573,Demócrito Rocha,Demócrito Rocha,97
230522-4,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R BAR DE SOBRAL 609  MONTESE FORTALEZA - CE CEP:60420775,Evangélicas,-3.766.928,-385.545.021,Montese,Montese,103
457982-8,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  NESTOR BARBOSA 723  AMADEU FURTADO FORTALEZA - CE CEP:60455610,Evangélicas,-37.454.441,-385.617.619,Parquelândia,Amadeu Furtado,4
66692-0,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  LIBERATO BARROSO 981  CENTRO FORTALEZA - CE CEP:60030161,Evangélicas,-37.261.305,-385.359.823,Centro,Centro,10
66702-1,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  LIBERATO BARROSO 971  21 CENTRO FORTALEZA - CE CEP:60030161,Evangélicas,-37.261.523,-385.359.138,Centro,Centro,10
189286-0,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R PRO MIRAMAR DA PONTE 872  HENRIQUE JORGE FORTALEZA - CE CEP:60521065,Evangélicas,-3.762.727,-385.864.498,João XXIII,Henrique Jorge,45
27072-5,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R ALM RUFINO 625  VILA UNIÃO FORTALEZA - CE CEP:60420075,Evangélicas,-3.767.519,-385.354.226,Vila União,Vila União,109
167600-8,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  FLOR DE LIS 204  PARANGABA FORTALEZA - CE CEP:60740440,Evangélicas,-38.016.567,-386.247.016,Siqueira,Siqueira,90
66709-9,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  LIBERATO BARROSO 971  28 CENTRO FORTALEZA - CE CEP:60030161,Evangélicas,-37.261.523,-385.359.138,Centro,Centro,10
100204-0,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,AL  DAS BENEDITAS 221  CIDADE 2000 FORTALEZA - CE CEP:60190160,Evangélicas,-3.748.984.699.999.990,-384.730.538,Cidade 2000,Cidade 2000,111
108981-1,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R DES HERMES PARAHYBA 373  BARRA DO CEARÁ FORTALEZA - CE CEP:60330142,Evangélicas,-37.142.004,-385.872.699,Barra do Ceará,Barra do Ceará,6
223613-3,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,AV  OSCAR ARARIPE 3289  GRANJA LISBOA FORTALEZA - CE CEP:60540442,Evangélicas,-3.784.924,-38.619.939,Granja Lisboa,Granja Lisboa,78
278866-7,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  GUADALAJARA 477  PARQUE SANTA MARIA FORTALEZA - CE CEP:60861130,Evangélicas,-37.969.519,-385.173.653,Boa Vista,Boa Vista/Castelão,95
571574-1,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,TV  JOSE LOURENCO 50  SÃO GERARDO FORTALEZA - CE CEP:60760552,Evangélicas,-38.304.308,-385.621.909,Mondubim,Mondubim,83
496086-6,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R DR ATUALPA 336  MONTE CASTELO FORTALEZA - CE CEP:60320563,Evangélicas,-3.722.358,-38.559.164,Monte Castelo,Monte Castelo,25
66706-4,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  LIBERATO BARROSO 971  25 CENTRO FORTALEZA - CE CEP:60030161,Evangélicas,-37.261.523,-385.359.138,Centro,Centro,10
127011-7,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  MARIO CAMPOS 617  JARDIM GUANABARA FORTALEZA - CE CEP:60346215,Evangélicas,-37.231.437,-385.875.184,Jardim Iracema,Jardim Guanabara,20
143399-7,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R PRO JOAQUIM ANTONIO 538  VILA ELLERY FORTALEZA - CE CEP:60320295,Evangélicas,-37.255.153,-385.645.917,Bairro Ellery,Ellery,38
206013-2,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  MELO OLIVEIRA 754  JÓQUEI CLUBE FORTALEZA - CE CEP:60520315,Evangélicas,-3.772.138.899.999.990,-385.782.078,Jóquei Clube,Jóquei Clube,101
110174-9,IGREJA EVANGELICA ASSEMBLEIA DE DEUS BETESDA,AV DR THEBERGE 1718  ÁLVARO WEYNE FORTALEZA - CE CEP:60337578,Evangélicas,-37.161.546,-385.655.451,Cristo Redentor,Álvaro Weyne,3
195678-7,IGREJA EVANGELICA ASSEMBLEIA DE DEUS DE BELA VISTA,R  CARLOS CHAGAS 269 OUTRO IGREJA BONSUCESSO FORTALEZA - CE CEP:60541704,Evangélicas,-37.810.249,-3.858.278,Bonsucesso,Bonsucesso,73
203974-5,IGREJA EVANGELICA ASSEMBLEIA DE DEUS DE BELA VISTA,R  VIRIATO RIBEIRO 436  BELA VISTA FORTALEZA - CE CEP:60442642,Evangélicas,-37.527.688,-385.586.331,Bela Vista,Bela Vista,94
362703-9,IGREJA EVANGELICA ASSEMBLEIA DE DEUS DE MONTESE,TV  ESPERANCA 54  CONJUNTO ESPERANÇA FORTALEZA - CE CEP:60763633,Evangélicas,-38.136.092,-385.853.447,Conjunto Esperança,Novo Mondubim,120
274636-0,IGREJA EVANGELICA ASSEMBLEIA DE DEUS DE MONTESE,R  VALDEMAR PAES   SN-7 SIQUEIRA FORTALEZA - CE CEP:60731736,Evangélicas,-37.906.575,-386.009.196,Não identificado,Bom Jardim,72
206503-7,IGREJA EVANGELICA ASSEMBLEIA DE DEUS DE MONTESE,R  PERDIGAO DE OLIVEIRA 746  JÓQUEI CLUBE FORTALEZA - CE CEP:60520210,Evangélicas,-37.747.316,-3.857.612.659.999.990,Jóquei Clube,Jóquei Clube,101
229569-5,IGREJA EVANGELICA ASSEMBLEIA DE DEUS DE MONTESE,R  15 DE NOVEMBRO 957  MONTESE FORTALEZA - CE CEP:60421035,Evangélicas,-37.703.305,-385.518.305,Montese,Montese,103
451233-2,IGREJA EVANGELICA ASSEMBLEIA DE DEUS DE MONTESE,R  TRAJANO DE MORAIS 575  PASSARÉ FORTALEZA - CE CEP:60861710,Evangélicas,-38.129.155,-38.524.055,Passaré,Passaré,88
251895-3,IGREJA EVANGELICA ASSEMBLEIA DE DEUS DE MONTESE,AV DR SILAS MUNGUBA 3265  ITAPERI FORTALEZA - CE CEP:60741005,Evangélicas,-37.885.837,-385.446.454,Serrinha,Serrinha,107
499278-4,IGREJA EVANGELICA ASSEMBLEIA DE DEUS DE MONTESE,R  PARAIBA 892  DEMÓCRITO ROCHA FORTALEZA - CE CEP:60440130,Evangélicas,-37.593.351,-385.675.448,Demócrito Rocha,Demócrito Rocha,97
165010-6,IGREJA EVANGELICA ASSEMBLEIA DE DEUS DE MONTESE,R  AFRODISIO GONDIM 247  DAMAS FORTALEZA - CE CEP:60416420,Evangélicas,-37.573.463,-385.456.142,Bom Futuro,Bom Futuro,8
727810-1,IGREJA EVANGELICA ASSEMBLEIA DE DEUS FILADELFIA-MIN FILADELF,R  ALFA   Q002 L133 MARAPONGA FORTALEZA - CE CEP:60711210,Evangélicas,-3.794.238,-385.702.144,Maraponga,Maraponga,82
226581-8,IGREJA EVANGELICA ASSEMBLEIA DE DEUS FILADELFIA-MIN FILADELF,R  CLAUDIO MANOEL 429  PICI FORTALEZA - CE CEP:60440570,Evangélicas,-37.495.779,-385.719.251,Pici,Pici,106
125701-3,IGREJA EVANGELICA ASSEMBLEIA DE DEUS FONTE INESGOTAVEL,R  CONSOLACAO 725  JARDIM IRACEMA FORTALEZA - CE CEP:60341360,Evangélicas,-37.243.923,-385.847.894,Jardim Iracema,Jardim Iracema,21
125702-1,IGREJA EVANGELICA ASSEMBLEIA DE DEUS FONTE INESGOTAVEL,R  CONSOLACAO 719  JARDIM IRACEMA FORTALEZA - CE CEP:60341360,Evangélicas,-3.724.359,-385.847.882,Jardim Iracema,Jardim Iracema,21
563647-7,IGREJA EVANGELICA ASSMBLEIA DE DEUS DE BOM JESUS,R  BOM JESUS 2030  GRANJA LISBOA FORTALEZA - CE CEP:60540255,Evangélicas,-37.907.353,-386.118.051,Granja Lisboa,Granja Lisboa,78
500052-1,IGREJA EVANGELICA BETEL PARA AS NACOES,R  LIVIO BARRETO   L008 Q034 DIONÍSIO TORRES FORTALEZA - CE CEP:60130110,Evangélicas,-37.503.615,-385.093.949,Dionísio Torres,Dionísio Torres,14
218347-1,IGREJA EVANGELICA RENOVADA DO BRASIL,R  HUMBERTO LOMEU 1229  Q078 GRANJA PORTUGAL FORTALEZA - CE CEP:60541112,Evangélicas,-3.782.008.299.999.990,-386.027.401,Granja Portugal,Granja Portugal,79
66945-8,IGREJA EVANGELICA TABERNACULO DA FE,R PDE MORORO 985  CENTRO FORTALEZA - CE CEP:60015220,Evangélicas,-372.539,-385.372.486,Centro,Centro,10
275767-2,IGREJA EVANGELICA TABERNACULO DE ADORADORES,R  BOTELHO MAGALHAES 48  CIDADE DOS FUNCIONÁRIOS FORTALEZA - CE CEP:60822485,Evangélicas,-3.796.246,-384.913.572,Cambeba,Cidade dos Funcionários,54
535834-5,IGREJA EVANGELICA TABERNACULO DO AVIVAMENTO,AV DOM MANUEL 1063  A CENTRO FORTALEZA - CE CEP:60060091,Evangélicas,-37.333.928,-385.226.207,Centro,Centro,10
17229-4,IGREJA EVANGELICA TABERNACULO DO AVIVAMENTO,AV DOM MANUEL 1063  CENTRO FORTALEZA - CE CEP:60060091,Evangélicas,-37.333.928,-385.226.207,Centro,Centro,10
308733-6,IGREJA FUNDAMENTALISTA CRISTO E VIDA,R  BELEM (NOEL ROSA) 32  DOM LUSTOSA FORTALEZA - CE CEP:60526185,Evangélicas,-3.754.042.699.999.990,-385.788.331,Henrique Jorge,Pici,106
18049-1,IGREJA MESSIANICA MUNDIAL DO BRASIL,R DONA LEOPOLDINA 564  CENTRO FORTALEZA - CE CEP:60110000,Evangélicas,-37.300.578,-385.193.556,Centro,Centro,10
274026-5,IGREJA NOVA APOSTOLICA BRASIL,AV GAL OSORIO DE PAIVA 5096  BOM JARDIM FORTALEZA - CE CEP:60731534,Católica Apostólica Romana,-3.802.925.799.999.990,-386.009.837,Bom Jardim,Bom Jardim,72
65544-9,IGREJA PENTECOSTAL DEUS E AMOR,R  TERESA CRISTINA 950  CENTRO FORTALEZA - CE CEP:60015140,Evangélicas,-37.288.355,-38.537.464,Centro,Centro,10
307480-3,IGREJA PENTECOSTAL DEUS E AMOR,R  TERESA CRISTINA 944  CENTRO FORTALEZA - CE CEP:60015140,Evangélicas,-37.287.452,-385.374.361,Centro,Centro,10
177100-0,IGREJA PRESBITERIANA DA AEROLANDIA,R CAP OLAVO 1001  AEROLÂNDIA FORTALEZA - CE CEP:60850685,Evangélicas,-3.770.941,-385.145.942,Aerolândia,Aerolândia,91
31620-2,IGREJA PRESBITERIANA DA ALDEOTA,R  CAROLINA SUCUPIRA 93  ALDEOTA FORTALEZA - CE CEP:60140120,Evangélicas,-3.740.276.199.999.990,-385.021.967,Aldeota,Aldeota,2
47608-0,IGREJA PRESBITERIANA DE FORTALEZA,AV  FELINO BARROSO 641  FÁTIMA FORTALEZA - CE CEP:60050130,Evangélicas,-3.748.470.599.999.990,-385.278.102,Fátima,Fátima,16
70752-0,IGREJA PRESBITERIANA DE FORTALEZA,AV VIS DO RIO BRANCO 1636  CENTRO FORTALEZA - CE CEP:60055170,Evangélicas,-37.353.115,-38.524.527,Centro,Centro,10
166315-1,IGREJA PRESBITERIANA DE MARAPONGA,AV  GODOFREDO MACIEL 681  A PARANGABA FORTALEZA - CE CEP:60710001,Evangélicas,-3.782.244.399.999.990,-385.653.789,Parangaba,Parangaba,105
5211-6,IGREJA PRESBITERIANA DE MONTE CASTELO,R PDE FROTA 766  SÃO GERARDO FORTALEZA - CE CEP:60325160,Evangélicas,-37.314.993,-385.491.472,Monte Castelo,São Gerardo,1
5214-0,IGREJA PRESBITERIANA DE MONTE CASTELO,R PDE FROTA 788  SÃO GERARDO FORTALEZA - CE CEP:60325160,Evangélicas,-37.317.087,-385.490.857,Monte Castelo,São Gerardo,1
14763-0,IGREJA PRESBITERIANA DO BRASIL EM JARDIM AMERICA IPBJA,R  JULIO CESAR 593  JARDIM AMÉRICA FORTALEZA - CE CEP:60410505,Evangélicas,-37.493.303,-38.541.957,Jardim América,Jardim América,19
515581-9,IGREJA PRESBITERIANA DO CONJ J. WALTER,R  41 (CONJ. RESID. PREF. JOSE WALTER) 511  PREFEITO JOSÉ WALTER FORTALEZA - CE CEP:60750550,Evangélicas,-3.833.418.399.999.990,-38.558.725,Prefeito José Walter,Prefeito José Walter,89
234857-8,IGREJA PRESBITERIANA INDEP DE HEN JORGE,AV  AUDIZIO PINHEIRO 365  DOM LUSTOSA FORTALEZA - CE CEP:60526025,Evangélicas,-3.756.105,-38.587.259,Dom Lustosa,Dom Lustosa,43
557877-9,IGREJA PRESBITERIANA NOVA JERUSALEM,AV  NILA GOMES DE SOAREZ 155  MANUEL DIAS BRANCO FORTALEZA - CE CEP:60190630,Evangélicas,-37.511.145,-384.678.977,Cidade 2000,Manuel Dias Branco,112
15963-8,IGREJA PRESBITERIANA RENOVADA DE FORTALEZA,R  WALDERY UCHOA 655  GALPAO BENFICA FORTALEZA - CE CEP:60020110,Evangélicas,-37.457.625,-385.403.897,Benfica,Benfica,7
303683-9,IGREJA PRESBITERIANA RENOVADA DE FORTALEZA,R DES FROTA 215  PARQUE SÃO JOSÉ FORTALEZA - CE CEP:60730270,Evangélicas,-3.796.194.299.999.990,-385.881.865,Parque São José,Parque São José,86
867331-4,IGREJA PRESBITERIANA RENOVADA DE FORTALEZA,R DES FROTA 201  PARQUE SÃO JOSÉ FORTALEZA - CE CEP:60730270,Evangélicas,-37.962.962,-385.881.085,Parque São José,Parque São José,86
256741-5,IGREJA TENRIKYO CENTRAL DE FORTALEZA,R  ALTAIR 200  MARAPONGA FORTALEZA - CE CEP:60711010,Sem Definição,-37.954.558,-385.643.282,Maraponga,Maraponga,82
499317-9,IGREJA TENRIKYO CENTRAL DE FORTALEZA,R  ALTAIR 200  MARAPONGA FORTALEZA - CE CEP:60711010,Sem Definição,-37.954.558,-385.643.282,Maraponga,Maraponga,82
44463-4,IGREJA UNIVERSAL DO REINO DE DEUS,R  ANTONIO POMPEU 1979  FARIAS BRITO FORTALEZA - CE CEP:60015107,Evangélicas,-37.318.463,-385.409.623,Centro,Farias Brito,15
442061-6,IGREJA UNIVERSAL DO REINO DE DEUS,R  REINO UNIDO 277  JARDIM DAS OLIVEIRAS FORTALEZA - CE CEP:60820140,Evangélicas,-37.850.975,-38.503.921,Jardim Das Oliveiras,Jardim das Oliveiras,62
74859-5,IGREJA UNIVERSAL DO REINO DE DEUS,R  24 DE MAIO 670  CENTRO FORTALEZA - CE CEP:60020000,Evangélicas,-3.727.555,-385.324.343,Centro,Centro,10
171634-4,IGREJA UNIVERSAL DO REINO DE DEUS,AV  DA ABOLICAO 3773  MUCURIPE FORTALEZA - CE CEP:60165085,Evangélicas,-37.253.722,-384.859.368,Meireles,Mucuripe,26
476875-2,IGREJA UNIVERSAL DO REINO DE DEUS,AV DEP CASTELO DE CASTRO 888  JANGURUSSU FORTALEZA - CE CEP:60866680,Evangélicas,-38.374.009,-385.217.967,Jangurussu,Jangurussu,61
172905-5,IGREJA UNIVERSAL DO REINO DE DEUS,AV ENG SANTANA JUNIOR 664  PAPICU FORTALEZA - CE CEP:60175652,Evangélicas,-3.735.049,-38.481.672,Papicu,Papicu,27
367202-6,IGREJA UNIVERSAL DO REINO DE DEUS,AV  CONTORNO NORTE 1150  CONJUNTO ESPERANÇA FORTALEZA - CE CEP:60763730,Evangélicas,-38.138.441,-385.873.295,Conjunto Esperança,Novo Mondubim,120
500090-4,IGREJA UNIVERSAL DO REINO DE DEUS,AV  OSCAR ARARIPE 1930  BOM JARDIM FORTALEZA - CE CEP:60543451,Evangélicas,-37.880.452,-386.083.417,Bom Jardim,Bom Jardim,72
314442-9,IGREJA UNIVERSAL DO REINO DE DEUS,R  JOSE MENDONCA 221  GENIBAÚ FORTALEZA - CE CEP:60534090,Evangélicas,-37.596.009,-386.028.694,Genibaú,Genibaú,44
185275-2,IGREJA UNIVERSAL DO REINO DE DEUS,AV  ZEZE DIOGO 992  CAIS DO PORTO FORTALEZA - CE CEP:60180012,Evangélicas,-37.157.005,-384.654.343,Cais do Porto,Cais do Porto,110
202186-2,IGREJA UNIVERSAL DO REINO DE DEUS,R  ESTADO DO RIO 664  PAN AMERICANO FORTALEZA - CE CEP:60440145,Evangélicas,-3.756.308.999.999.990,-38.569.654,Demócrito Rocha,Panamericano,104
343905-4,IGREJA UNIVERSAL DO REINO DE DEUS,AV GAL OSORIO DE PAIVA 4633  CANINDEZINHO FORTALEZA - CE CEP:60730243,Evangélicas,-3.799.658,-385.967.202,Parangaba,Canindezinho,74
610728-1,IGREJA UNIVERSAL DO REINO DE DEUS,R  APOCALIPSE 692  PLANALTO AYRTON SENNA FORTALEZA - CE CEP:60766470,Evangélicas,-38.333.953,-385.718.587,Quintino Cunha,Planalto Ayrton Senna,115
297361-8,IGREJA UNIVERSAL DO REINO DE DEUS,R CON DE CASTRO 3700  PARQUE SÃO JOSÉ FORTALEZA - CE CEP:60730202,Evangélicas,-37.995.285,-385.870.892,Vila Peri,Parque São José,86
515634-3,IGREJA UNIVERSAL DO REINO DE DEUS,AV  TRISTAO GONCALVES 637  CENTRO FORTALEZA - CE CEP:60015000,Evangélicas,-37.276.029,-38.533.091,Centro,Centro,10
297306-5,IGREJA UNIVERSAL DO REINO DE DEUS,R  BERNARDO   Q018 SN PREFEITO JOSÉ WALTER FORTALEZA - CE CEP:60000000,Evangélicas,-38.324.922,-385.529.854,Prefeito José Walter,Prefeito José Walter,89
256123-9,IGREJA UNIVERSAL DO REINO DE DEUS,R  LEON GRADVOHL 500  JARDIM CEARENSE FORTALEZA - CE CEP:60712152,Evangélicas,-37.983.048,-385.667.905,Jardim Cearense,Jardim Cearense,80
228577-0,IGREJA UNIVERSAL DO REINO DE DEUS,AV  JOAO PESSOA 6745  PARANGABA FORTALEZA - CE CEP:60721340,Evangélicas,-37.700.585,-385.608.678,Damas,Parangaba,105
90469-4,IGREJA UNIVERSAL DO REINO DE DEUS,AV  FRANCISCO SA 4355  ÁLVARO WEYNE FORTALEZA - CE CEP:60335195,Evangélicas,-37.153.169,-385.638.655,Jacarecanga,Álvaro Weyne,3
305523-0,IGREJA UNIVERSAL DO REINO DE DEUS,AV DEP CASTELO DE CASTRO 2359  CONJUNTO PALMEIRAS FORTALEZA - CE CEP:60870065,Evangélicas,-38.477.939,-385.222.171,Jangurussu,Conjunto Palmeiras,117
271551-1,IGREJA UNIVERSAL DO REINO DE DEUS,R PDE PEDRO DE ALENCAR 61  MESSEJANA FORTALEZA - CE CEP:60840280,Evangélicas,-38.280.528,-384.931.229,Messejana,Messejana,65
610505-0,IGREJA UNIVERSAL DO REINO DE DEUS,R  08 DO CONJUNTO JOAO PAULO II 166  BARROSO FORTALEZA - CE CEP:60863810,Evangélicas,-38.246.529,-385.199.065,Barroso,Barroso,51
130365-1,IGREJA UNIVERSAL DO REINO DE DEUS,R  AMOR PERFEITO 315  JARDIM IRACEMA FORTALEZA - CE CEP:60330490,Evangélicas,-3.717.807,-38.582.405,Jardim Iracema,Jardim Iracema,21
557941-4,IGREJA UNIVERSAL DO REINO DE DEUS,AV  TRISTAO GONCALVES 613  SUBSOLO CENTRO FORTALEZA - CE CEP:60015000,Evangélicas,-37.275.497,-385.329.822,Centro,Centro,10
165664-3,INSPETORIA MARIA AUXILIADORA,R  OSWALDO ARANHA 31  PARANGABA FORTALEZA - CE CEP:60720840,Sem Definição,-3.783.159.399.999.990,-385.720.563,Parangaba,Parangaba,105
16445-3,INSTITUICAO ESPIRITA NOSSO LAR,R DOM JERONIMO 2380  BENFICA FORTALEZA - CE CEP:60015355,Espírita,-37.364.705,-385.428.004,Não identificado,Farias Brito,15
16506-9,INSTITUICAO ESPIRITA NOSSO LAR,R  CARAPINIMA 2424  BENFICA FORTALEZA - CE CEP:60015290,Espírita,-37.406.511,-38.541.236,Benfica,Benfica,7
45405-2,INSTITUICAO RELIGIOSA PERFECT LIBERT,R  ANTONIO POMPEU 999  BENFICA FORTALEZA - CE CEP:60040001,Outras religiosidades,-37.344.002,-3.853.263.219.999.990,Centro,Benfica,7
67100-2,INSTITUTO BOM PASTOR,R  ANTONIO BANDEIRA   TV JACARECANGA FORTALEZA - CE CEP:60010660,Católica Apostólica Romana,-3.722.897,-385.442.657,Jacarecanga,Jacarecanga,18
643751-6,INSTITUTO DAS FILHAS DE SANT'ANA-NORTE - INFISA-N,AV ENG HUMBERTO MONTE 2810  ALTOS PARQUELÂNDIA FORTALEZA - CE CEP:60455372,Sem Definição,-3.738.587.099.999.990,-38.568.987,Bela Vista,Parquelândia,29
643750-8,INSTITUTO DAS FILHAS DE SANT'ANA-NORTE - INFISA-N,AV ENG HUMBERTO MONTE 2810  PARQUELÂNDIA FORTALEZA - CE CEP:60455372,Sem Definição,-3.738.587.099.999.990,-38.568.987,Bela Vista,Parquelândia,29
680394-6,INSTITUTO DAS IRMAS MISSIONARIAS DE NOSSA SENHORA DAS DORES,R MAD ANA COUTO 325  A MESSEJANA FORTALEZA - CE CEP:60842390,Católica Apostólica Romana,-38.192.128,-384.984.555,Messejana,Messejana,65
301524-6,INSTITUTO DAS IRMAS MISSIONARIAS DE NOSSA SENHORA DAS DORES,R MAD ANA COUTO 325  MESSEJANA FORTALEZA - CE CEP:60842390,Católica Apostólica Romana,-38.192.128,-384.984.555,Messejana,Messejana,65
296140-7,INSTITUTO DAS MENSAGEIRAS DE SANTA MARIA,R  OSCAR LEITAO 377  PAUPINA FORTALEZA - CE CEP:60872685,Católica Apostólica Romana,-3.837.693.999.999.990,-384.907.218,Messejana,Paupina,68
971-7,INSTITUTO DE FORMACAO E ASSISTENCIA SOCIAL,R  JOSE SOMBRA 440  PARQUE ARAXÁ FORTALEZA - CE CEP:60450610,Sem Definição,-3.736.237,-385.467.882,Parque Araxá,Parque Araxá,28
327330-0,INSTITUTO HESED D IR E IRMAS DA S CRUZ BAV MA DO M CARMELO,AV  DIONISIO ALENCAR   VAZIO JANGURUSSU FORTALEZA - CE CEP:60870576,Católica Apostólica Romana,-38.497.649,-385.042.676,Jangurussu,Jangurussu,61
322294-2,INSTITUTO HESED D IR E IRMAS DA S CRUZ BAV MA DO M CARMELO,AV  DIONISIO ALENCAR 1443  JANGURUSSU FORTALEZA - CE CEP:60873073,Católica Apostólica Romana,-38.471.575,-38.502.792,Ancuri,Parque Santa Maria,102
